,name,post,profile,sentiment
20,Daniel Ruiz Riquelme,"Esta semana estaré impartiendo en Datamecum un módulo sobre la produccionalización de aplicaciones basadas en datos. Aprenderemos qué es y cómo implementar MLOps con ejemplos prácticos, incluyendo el uso de un registro de modelos, el despliegue de modelos en forma de APIs y los workflows de machine learning. También exploraremos cómo estructurar repositorios de machine learning e introduciremos herramientas como Git y Docker.En Datamecum, nos enfocamos en brindar a nuestros alumnos conocimientos prácticos y aplicables desde el primer día en sus trabajos. El profesorado es una combinación de profesores universitarios con una amplia experiencia en la formación de futuros profesionales de data science y profesionales en activo procedentes de empresas líderes del mercado, que aportan un conocimiento profundo y actualizado sobre las últimas tendencias y prácticas del sector. Todo esto nos permite ofrecer a nuestros alumnos una formación completa y actualizada, que les prepara para enfrentar los desafíos del mundo laboral.Y lo mejor de todo es que ofrecemos todo esto a un preciomuy asequible!No esperes más y únete a nosotros para dar un granimpulso a tu carrera en data science. Te esperamos!Visita la web para más información: https://www.datamecum.com/",https://www.linkedin.com/in/danielruizriquelme,0.0
21,Omar Gómez,"He descubierto una app que analiza más de 400K ofertas laborales relacionadas con el mundo de los datos (internacional). Salario, herramientas y lenguajes de programación más demandados, habilidades mejor pagadas...datanerd.tech desarrollado por Luke Barousse.Aquí su proceso de desarrollo 👉 https://lnkd.in/dZP7iNhS una pasada...#dataanalytics #datascience #etl #database #data",https://www.linkedin.com/in/ma-maganafuentes,0.0
22,Manuel Ruiz Prieto,¡Me alegra contaros que he obtenido un nuevo certificado: Professional Scrum Master™ I (PSM I) de Scrum.org!,https://www.linkedin.com/in/manuel-ruiz-prieto-1493bb37,0.0
23,Odoo,The future of manufacturing is here! 🚀 Download our free report to learn how MRP software can help scale your manufacturing operations.,/in/ACoAADB8FJsBdced5jq5msX9_z37fBp0o-6xosg/,0.7424
24,Lidia Montes López,New Opportunities en Scalian Spain🔎#hiring #developer #java ,https://www.linkedin.com/in/lidia-montes-l%C3%B3pez-17744b214,0.3818
25,Santiago Fuentes,"HOW CAN WE IMPROVE CRITICAL THINKING?While analyzing data, ""the goal is to turn information into insights and in order to create insights about the right things, we must ask the right questions.If you want to be a good critical thinker, you need to remember that it’s all about practice. Like any habit, there are certain muscles you need to flex over time, and here are some basic drills for it:1. IDENTIFICATIONThe first step is to identify the situation or problem. Once you have a clear picture of that, and the factors that may influence it, you can begin to dive deeper into it and its potential solutions.How to Improve: When faced with a new situation, question, or scenario, stop to take a mental picture of how things are stacked up.2. ASK QUESTIONS“It is better to debate a question without settling it than to settle a question without debating it” — Joseph JoubertLearn to question everything. It’s very easy to accept things at face value, but that’s a sign of a lazy mind.How to Improve: You can start by asking the following questions:What do you already know?How do you know that?What seems to be the reason for this happening?What are you trying to prove, disprove, demonstrate, critique, and support?What are you overlooking?You should continually go back to these basic questions you asked when you set out to solve the problem. These types of questions urge you to get right to the core of a problem, examining it for simple solutions before assuming its complexities.3. BE AWARE OF YOUR MENTAL PROCESSBeing a good critical thinker requires you to accept that you have biases. Although even the best critical thinkers will never be entirely bias-free, you need to learn to look out for them.How to Improve: Make a habit of asking yourself what you’re assuming and why you’re assuming that, and check for things like stereotyping.Becoming more mindful of your own biases is the first step to rewriting these parts of your thinking.4. ADJUST YOUR PERSPECTIVEGood critical thinkers do their best to be neutral with respect to their own beliefs and thoughts, spotting biases and prejudices and then correcting them.How to Improve: Think of yourself as a judge. You have to evaluate both sides of an argument, but you also need to keep in mind the biases each side may possess.When evaluating information, ask yourself these questions:Whom will this benefit?Does the source have an agenda?Is the source ignoring, overlooking, or leaving out information?Is this source using unnecessary language to change an audience’s mind?""Check out the rest of the critical thinking steps in the full article by Angelica Dietzel linked in the comments.#data #thinkautonomous #ai4good #pensamientocrítico",https://www.linkedin.com/in/yonatan-rodriguez,0.973
26,Joaquin Palou,Comparto gráfico de barras animado con la evolución ( 2000 - 2022 ) en valoración de mercado de las empresas top donde se observa cómo a medida que pasan los años el crecimiento de las cuatro top #tecnologicas es mucho más rápido y se distancian cada vez más del resto empresas ...🤔🤔🤔 ❗ ❗Si os gustan este tipo de publicaciones podéis recomendar & compartir para que el contenido llegue a muchas más personas. Para seguirme un solo clic en seguir aquí 👉https://bit.ly/3JfRW8q #RA #AR #RV #VR #virtualreality #Realidadaumentada #realidadvirtual #augmentedreality #tecnologia #tech #innovacion #stem #smartcity #healthtech #health #IA 👇,https://www.linkedin.com/in/joaquin-palou-735a0439,0.3818
27,Ironhack Spain,"[MADRID] Hasta el 28 de febrero, consigue una de las 100 entradas con descuento Early Bird para nuestro próximo taller de Diseño #UX🚀 El workshop se imparte el 📅 sábado, 18 de marzo donde aprenderás los fundamentos del Diseño de Experiencia de Usuario en un taller práctico impartido por Joaquina Egozcue Pedreira, antigua alumna de Ironhack y UX Consultant de Redbility, en el Auditorio de Casa del Lector de Matadero Madrid (Legazpi).3 horas de taller inmersivo en el que pondrás en práctica la experiencia #usuario, cómo se organiza un #proyecto y las #metodologías para abarcarlo, todo ello sobre un caso real. 📱Reserva tu plaza ahora👉https://lnkd.in/dEG-Sp8W#ironhack #tech #workshop #uxui",https://www.linkedin.com/company/ironhack-spain/,0.0
28,Anatomage Inc.,"The Anatomage Table is an advanced, highly technological virtual dissection and visualisation tool.",https://www.linkedin.com/company/anatomage-inc./,0.25
29,Alejandro Garcia Garcia,Seguimos creciendo!! En #DataFabric COSENTINO seguimos buscando compañeros que quieran sumarse al reto de la c-revolución digital. Te atreves? #challenge #data #analytics #BigData #Spark ,https://www.linkedin.com/in/alegg,0.0
